Wavelength,Extinction Efficiency
5.0,3.4704179716040794e-05
3.333333333333333,0.00010085596602556059
2.4999999999999996,0.00019149521916896439
1.9999999999999996,0.0003009957618959715
1.6666666666666665,0.0005127841500369284
1.4285714285714282,0.0008086609080829583
1.2499999999999996,0.0011715793785642046
1.111111111111111,0.0015506027978914795
0.9999999999999998,0.0021681342396668497
0.9090909090909088,0.0031743092646765773
0.833333333333333,0.0048520746935450994
0.769230769230769,0.007751299937085339
0.7142857142857141,0.012981985303825534
0.6666666666666665,0.022902947976955457
0.6249999999999999,0.042804959359101884
0.588235294117647,0.0849048126206523
0.5555555555555554,0.17465728793238652
0.5263157894736841,0.33378701609790123
0.4999999999999998,0.47195509260747515
0.47619047619047605,0.4673302887064156
0.4545454545454543,0.4081829986478899
0.43478260869565205,0.37187899597247376
0.4166666666666665,0.3676396487577917
0.39999999999999986,0.3846962371842943
0.38461538461538447,0.406260702572824
0.37037037037037024,0.4194147859927437
0.357142857142857,0.42318034477311195
0.3448275862068964,0.42382865514742474
0.33333333333333326,0.42714202291755077
0.3225806451612902,0.4362402456707105
0.3124999999999999,0.45247659337366075
0.3030303030303029,0.4764819969222121
0.29411764705882343,0.5087197875594365
0.2857142857142856,0.5496829404266868
0.2777777777777777,0.5998825768571857
0.2702702702702702,0.6596836628753638
0.263157894736842,0.7289830316282716
0.25641025641025633,0.8067075616356023
