Wavelength,Absorption Efficiency
5.0,3.463727773830428e-05
3.333333333333333,0.00010051469272539378
2.4999999999999996,0.00019040584078817396
1.9999999999999996,0.0002982989295747705
1.6666666666666665,0.000507092727786355
1.4285714285714282,0.0007979008343939714
1.2499999999999996,0.0011526973218526314
1.111111111111111,0.001519374889057613
0.9999999999999998,0.0021186626254419776
0.9090909090909088,0.003098427449775309
0.833333333333333,0.0047383816590275555
0.769230769230769,0.007583579332824574
0.7142857142857141,0.01273647861743484
0.6666666666666665,0.02254344489992256
0.6249999999999999,0.04227390981211496
0.588235294117647,0.0841094938984395
0.5555555555555554,0.17346820772111263
0.5263157894736841,0.3321617278424327
0.4999999999999998,0.4702463246306378
0.47619047619047605,0.4658957806732308
0.4545454545454543,0.4068996548481551
0.43478260869565205,0.37051844979016374
0.4166666666666665,0.36604917204329074
0.39999999999999986,0.3828142993117287
0.38461538461538447,0.40410888094533004
0.37037037037037024,0.41704142364955615
0.357142857142857,0.4205909362187864
0.3448275862068964,0.42096934676793085
0.33333333333333326,0.42392024315441146
0.3225806451612902,0.4325433597796444
0.3124999999999999,0.448179191262438
0.3030303030303029,0.4714465432354769
0.29411764705882343,0.5027952653004502
0.2857142857142856,0.5427041626755859
0.2777777777777777,0.5916721091879457
0.2702702702702702,0.6500585663643393
0.263157894736842,0.7177693625686261
0.25641025641025633,0.793766091840545
