Wavelength,Scattering Efficiency
5.0,0.0007106018754122689
3.333333333333333,0.0036943239044249935
2.4999999999999996,0.01212106468369834
1.9999999999999996,0.031038032634690908
1.6666666666666665,0.06827315103501773
1.4285714285714282,0.13549275978064118
1.2499999999999996,0.25018598393761876
1.111111111111111,0.4378764174491085
0.9999999999999998,0.7326833968852561
0.9090909090909088,1.1734864898835076
0.833333333333333,1.7864053622001188
0.769230769230769,2.5440827590512622
0.7142857142857141,3.315633127530277
0.6666666666666665,3.877378527584346
0.6249999999999999,4.04193135932888
0.588235294117647,3.7935826991648183
0.5555555555555554,3.2748852158877875
0.5263157894736841,2.670162872583318
0.4999999999999998,2.1089349108813806
0.47619047619047605,1.719438130421072
0.4545454545454543,1.5631377178311634
0.43478260869565205,1.555529862979189
0.4166666666666665,1.5919768696243832
0.39999999999999986,1.6146894733509376
0.38461538461538447,1.6068213499034996
0.37037037037037024,1.5827477336346012
0.357142857142857,1.5647751166047346
0.3448275862068964,1.5626936446147066
0.33333333333333326,1.5741985172784385
0.3225806451612902,1.5931712746320623
0.3124999999999999,1.614610040214765
0.3030303030303029,1.6356756150638008
0.29411764705882343,1.655143369390625
0.2857142857142856,1.6726040791890746
0.2777777777777777,1.6877574480109352
0.2702702702702702,1.699832655247038
0.263157894736842,1.707266754161891
0.25641025641025633,1.7078559628845902
