Wavelength,Scattering Efficiency
5.0,2.378387839844327
3.333333333333333,2.298714708648141
2.4999999999999996,2.294872954576211
1.9999999999999996,2.3454708441214516
1.6666666666666665,2.3458101689051953
1.4285714285714282,2.350179037340077
1.2499999999999996,2.3891510031275884
1.111111111111111,2.422688590831977
0.9999999999999998,2.451500298886337
0.9090909090909088,2.498139676318301
0.833333333333333,2.549223564322985
0.769230769230769,2.585829506085549
0.7142857142857141,2.614472682860174
0.6666666666666665,2.634302604813035
0.6249999999999999,2.613877998414881
0.588235294117647,2.5173743307234453
0.5555555555555554,2.337279766897385
0.5263157894736841,2.1085485640440433
0.4999999999999998,1.8841855634728526
0.47619047619047605,1.7107826023326578
0.4545454545454543,1.6162348173100558
0.43478260869565205,1.5864628377251981
0.4166666666666665,1.5852506436702145
0.39999999999999986,1.582806354846854
0.38461538461538447,1.5676123885409343
0.37037037037037024,1.5447503492246877
0.357142857142857,1.523821373947864
0.3448275862068964,1.5102470908089363
0.33333333333333326,1.5047117525989047
0.3225806451612902,1.5056458209130557
0.3124999999999999,1.51102016053883
0.3030303030303029,1.519018726105572
0.29411764705882343,1.5281480676660637
0.2857142857142856,1.5371884715542283
0.2777777777777777,1.5451399569548967
0.2702702702702702,1.5511928851601495
0.263157894736842,1.5547166623669304
0.25641025641025633,1.5552517254167326
