Wavelength,Absorption Efficiency
3.141592653589795,-0.013695774200053112
2.938176419105681,-0.014354526330619437
2.7595004264781573,-0.014616054961574655
2.6013099147936845,-0.014626858381516054
2.460272856656799,-0.014589929593980502
2.33374268037276,-0.014639135219208944
2.2195906289838887,-0.014840935770919269
2.1160850246560066,-0.015224045367869993
2.0218028093325544,-0.015802030836028408
1.9355637245491477,-0.016592665887148715
1.856380647300543,-0.017620041082207334
1.7834216372319567,-0.01890384047890188
1.7159805950648304,-0.020452827873944906
1.6534543358464473,-0.022244223724755555
1.5953244983595058,-0.024191245477338405
1.541143140951902,-0.026150223113114646
1.4905211761712076,-0.027974322377722367
1.443119012238049,-0.029576042961636895
1.3986389252211473,-0.030965605442896206
1.3568187996710446,-0.03222890328012847
1.3174269596040864,-0.03347460834616808
1.2802578744993052,-0.03480210179547508
1.2451285722403735,-0.03628488628912305
1.2118756268427588,-0.03797564072025597
1.180352616307876,-0.03991669133572384
1.150427967172645,-0.042143106119957384
1.1219831188259364,-0.044697306909256246
1.0949109535826396,-0.04761991974013067
1.0691144486859272,-0.05095967069488
1.0445055144792306,-0.05476481427981863
1.0210039894260037,-0.059083392855704034
0.9985367678171982,-0.06397830822929268
0.9770370401679408,-0.0695127949778829
0.9564436296770334,-0.07574919784784039
0.9367004108685613,-0.08277117746764111
0.9177557987807673,-0.09064112367020083
0.8995622989125435,-0.0994441093032365
0.8820761096602534,-0.10925597272549757
0.8652567702387262,-0.12015843034641825
0.8490668481290018,-0.13222814992408988
0.8334716609707935,-0.14553770084786588
0.8184390285509086,-0.1601548561907199
0.8039390511552388,-0.1761433451456531
0.7899439110717226,-0.19355313842372954
0.7764276944714283,-0.21242359813602416
0.7633662312680835,-0.23278633120708903
0.7507369508739737,-0.25466810043317134
0.738518752041229,-0.2781019341682932
0.7266918852095167,-0.30313938476355107
0.715237845980277,-0.3298623021648317
0.7041392785089141,-0.35840129349580857
0.6933798877541117,-0.38896432896674965
0.6829443596511554,-0.4218746090601996
0.6728182883868363,-0.4576176074178401
0.6629881100496318,-0.4968991930241405
0.6534410420125352,-0.5407183359907797
0.6441650274788828,-0.590458638759245
0.635148684685315,-0.647998833956334
0.6263812603118706,-0.7158250896285181
0.6178525866982306,-0.7970834453393152
0.6095530425082186,-0.8954175930693241
0.6014735165226142,-1.01429373137952
0.5936053742738201,-1.1554331566251415
0.5859404272655159,-1.3163740917271622
0.5784709045466222,-1.4885612757065771
0.5711894264321359,-1.6585580976835272
0.5640889801840189,-1.812509612501151
0.5571628974836802,-1.9394979616878367
0.5504048335439313,-2.0317814245578028
0.5438087477228833,-2.085540953682862
0.5373688855152838,-2.1030494507595456
0.5310797618084434,-2.0925844102061957
0.524936145300353,-2.0650565866626267
0.5189330439869541,-2.030248096770538
0.5130656916339448,-1.9949485240287332
0.5073295351560699,-1.9629243543142307
0.5017202228336598,-1.9357070781489758
0.49623359330232714,-1.913462153581923
0.49086566525727665,-1.8956619800406127
0.4856126278186956,-1.881530155148353
0.4804708315092283,-1.8702960118005323
0.4754367797986405,-1.861307331984651
0.47050712117451093,-1.854049691360436
0.4656786417011572,-1.8481211509273907
0.46094825803208506,-1.843201678436707
0.45631301084403175,-1.839034571916197
0.45177005866322617,-1.8354146360247285
0.4473166720567993,-1.8321724500706043
0.44295022816439533,-1.8291566851230145
0.4386682055469618,-1.8262272278989806
0.4344681793314609,-1.8232626304702628
0.4303478166318583,-1.8201660056888884
0.4263048722282177,-1.816852751184762
0.4223371844870899,-1.8132296149219276
0.4184426715076164,-1.809195268011928
0.41461932747891517,-1.8046724867183708
0.41086521923535396,-1.7996373948631674
0.4071784829972837,-1.794103964662158
0.4035573212856854,-1.788077493585734
0.4,-1.7815449151791816
