Wavelength,Absorption Efficiency
1.0,-0.009142313286494995
0.8636363636363636,-0.015489991230784714
0.7599999999999999,-0.0311719345731308
0.6785714285714286,-0.07427764323470447
0.6129032258064516,-0.21088149554680263
0.5588235294117647,-0.6925750949277558
0.5135135135135136,-1.6237974897842022
0.47500000000000003,-1.5995316914775215
0.4418604651162791,-1.336672408844518
0.41304347826086957,-1.3392662207479122
0.3877551020408163,-1.4478500126046991
0.3653846153846154,-1.4933004215480354
0.3454545454545455,-1.5010426360833733
0.32758620689655177,-1.5411732070694857
0.3114754098360656,-1.6305715415881852
0.296875,-1.7599410096780623
0.2835820895522388,-1.9111023108774718
0.2714285714285714,-2.0597891351398863
0.2602739726027397,-2.1766568188801334
0.25,-2.234383445108633
