Wavelength,Scattering Efficiency
3.141592653589795,2.182372407305425
2.938176419105681,2.152845098499641
2.7595004264781573,2.151938596307751
2.6013099147936845,2.1642214731990257
2.460272856656799,2.1809142643055845
2.33374268037276,2.1846951541929354
2.2195906289838887,2.18198063080635
2.1160850246560066,2.1768225721753622
2.0218028093325544,2.1731855158409874
1.9355637245491477,2.1807163818676876
1.856380647300543,2.191811214423841
1.7834216372319567,2.207211860336005
1.7159805950648304,2.2200841186280607
1.6534543358464473,2.2324929391636372
1.5953244983595058,2.240213466568135
1.541143140951902,2.247188768679727
1.4905211761712076,2.256600218465118
1.443119012238049,2.266955299621106
1.3986389252211473,2.2799393095034213
1.3568187996710446,2.2905694320960257
1.3174269596040864,2.3031598444504007
1.2802578744993052,2.3141848963044565
1.2451285722403735,2.3277533645291917
1.2118756268427588,2.3394006038884827
1.180352616307876,2.351195501002753
1.150427967172645,2.3633536400435426
1.1219831188259364,2.3753911639231546
1.0949109535826396,2.388157204610313
1.0691144486859272,2.397740849471608
1.0445055144792306,2.41092947627853
1.0210039894260037,2.4230898363518274
0.9985367678171982,2.4372892250931075
0.9770370401679408,2.444447471733725
0.9564436296770334,2.4561895835536895
0.9367004108685613,2.4669663732245724
0.9177557987807673,2.4805560403994744
0.8995622989125435,2.4867632230472276
0.8820761096602534,2.4932670168473594
0.8652567702387262,2.4996423977671047
0.8490668481290018,2.506529289634554
0.8334716609707935,2.508909974052792
0.8184390285509086,2.510822428800199
0.8039390511552388,2.513953901995625
0.7899439110717226,2.513960614910821
0.7764276944714283,2.513584822798993
0.7633662312680835,2.5042653718252468
0.7507369508739737,2.4986563185957196
0.738518752041229,2.486404976012727
0.7266918852095167,2.4621291999783264
0.715237845980277,2.4488610138364253
0.7041392785089141,2.4367615309394863
0.6933798877541117,2.4164682072797237
0.6829443596511554,2.3848761784953525
0.6728182883868363,2.3560095054224446
0.6629881100496318,2.3254855394563982
0.6534410420125352,2.3023434010807664
0.6441650274788828,2.271725374292248
0.635148684685315,2.2377966682084947
0.6263812603118706,2.2050477033996008
0.6178525866982306,2.1752476348650243
0.6095530425082186,2.149479449048541
0.6014735165226142,2.123778500938791
0.5936053742738201,2.0962500347137585
0.5859404272655159,2.0669148843217973
0.5784709045466222,2.038174660057087
0.5711894264321359,2.0107618277287327
0.5640889801840189,1.9829143323196454
0.5571628974836802,1.954035645116681
0.5504048335439313,1.9243135598283747
0.5438087477228833,1.8941985816458975
0.5373688855152838,1.8640820202860313
0.5310797618084434,1.8342466734557463
0.524936145300353,1.80486503724148
0.5189330439869541,1.7760045021966324
0.5130656916339448,1.747678096727313
0.5073295351560699,1.7199167502318342
0.5017202228336598,1.6928212422458964
0.49623359330232714,1.6665788443028888
0.49086566525727665,1.6414516568438255
0.4856126278186956,1.6177516066248128
0.4804708315092283,1.59580839677323
0.4754367797986405,1.5759327487660375
0.47050712117451093,1.5583771443962726
0.4656786417011572,1.5432988999607264
0.46094825803208506,1.530738715430251
0.45631301084403175,1.5206217277352538
0.45177005866322617,1.512777946526045
0.4473166720567993,1.5069757420097634
0.44295022816439533,1.502953383971882
0.4386682055469618,1.5004359134629761
0.4344681793314609,1.4991389612662394
0.4303478166318583,1.4987659213434812
0.4263048722282177,1.4990110981341225
0.4223371844870899,1.499582434940067
0.4184426715076164,1.5002330400803248
0.41461932747891517,1.500775814702479
0.41086521923535396,1.5010711789333284
0.4071784829972837,1.5009951117039586
0.4035573212856854,1.5004137600200305
0.4,1.4992047778390116
