Wavelength,Absorption Efficiency
1.0,-0.018754347404231656
0.8636363636363636,-0.027269521881151157
0.7599999999999999,-0.047424261810100926
0.6785714285714286,-0.09826413641885412
0.6129032258064516,-0.2402396422292256
0.5588235294117647,-0.6798173112288802
0.5135135135135136,-1.7042558581790785
0.47500000000000003,-2.216915794125822
0.4418604651162791,-2.074836252049842
0.41304347826086957,-2.095116969187562
0.3877551020408163,-2.2605886333469787
0.3653846153846154,-2.388661619500136
0.3454545454545455,-2.4466611672589433
0.32758620689655177,-2.4983906535695852
0.3114754098360656,-2.568937842385379
0.296875,-2.663602130827184
0.2835820895522388,-2.7900790175913732
0.2714285714285714,-2.952066211786169
0.2602739726027397,-3.135058628621672
0.25,-3.3013622981691446
