Wavelength,Scattering Efficiency
1.0,0.20502542742766916
0.8636363636363636,0.38334694003785363
0.7599999999999999,0.6990436828062583
0.6785714285714286,1.3059548649062929
0.6129032258064516,2.3923655318059587
0.5588235294117647,3.4935798493496457
0.5135135135135136,3.0634356924392327
0.47500000000000003,2.0936093992456093
0.4418604651162791,1.9327855687042843
0.41304347826086957,2.195166241498859
0.3877551020408163,2.3658285396613015
0.3653846153846154,2.39027196745669
0.3454545454545455,2.453572458625947
0.32758620689655177,2.594983910061243
0.3114754098360656,2.763283941680208
0.296875,2.9152202554949493
0.2835820895522388,3.0288933958456687
0.2714285714285714,3.095559548665328
0.2602739726027397,3.1069809104228554
0.25,3.0520899797409613
